Niveau,Wort,Klarwort,Übersetzung,Detail,Example1,Example2,Example3,Example4,Example5,
A1,Aber,aber,"aber (Konjunktion): but, however, yet  aber (Adverb): however, nevertheless  aber (Partikel): indeed, really, come on","aber (Konjunktion): but, however, yet  aber (Adverb): however, nevertheless  aber (Partikel): indeed, really, come on","Ich will gehen, aber ich habe keine Zeit.I want to go, but I have no time.","Das ist schwer, aber machbar.That is difficult but doable.","Komm aber pünktlich!Do come on time!4. Er ist müde, aber er arbeitet weiter.He is tired, but he keeps working.","Es war schön; aber, wir mussten früh gehen.It was nice; however, we had to leave early.",,German Word (A1)
A1,Nach,nach,"nach (Präposition): to, towards‌ (direction), after‌ (time), according to, by  nach (Adverb): afterwards, then, next  nach (Partikel): after all, you know‌ (modal particle; regional/colloquial)","nach (Präposition): to, towards (direction), after (time), according to, by  nach (Adverb): afterwards, then, next  nach (Partikel): after all, you know (modal particle; regional/colloquial)",Wir fahren nach Berlin.We are going to Berlin.,Nach dem Essen gehen wir spazieren.After the meal we go for a walk.,"Nach Plan beginnt der Kurs um neun.According to the plan, the course starts at nine.",Er kam nach.He came afterwards.,"Komm nach, das schaffst du schon!Come on, you can do it, after all!",German Word (A1)
B1,Üblich,üblich,"üblich (Adjektiv): usual, customary, common, standard  das üblich (Noun): the usual, the customary thing","üblich (Adjektiv): usual, customary, common, standard  das Üblich (Noun): the usual, the customary thing📊 Degrees of ComparisonPositive: üblichComparative: üblicherSuperlative: am üblichsten","Ist das hier üblich?Is this usual here?2. In Deutschland ist Trinkgeld nicht immer üblich.In Germany, tipping is not always customary.","In unserer Firma ist es üblicher, E-Mails zu schreiben.In our company it is more usual to write emails.",Das ist am üblichsten in großen Städten.That is most common in big cities.,"Das Übliche, bitte.The usual, please.",,German Word (B1)
B2,Überzeugen,überzeugen,"überzeugen (Verb): to convince, to persuade, to win over, to make sure‌ (convince)  das überzeugen (Noun): the convincing‌ (act of convincing)","überzeugen (Verb): to convince, to persuade, to win over, to make sure (convince)  das Überzeugen (Noun): the convincing (act of convincing)🔄 Verb Conjugationsregelmäßig Partizip II: überzeugtPresent (Präsens):ich: überzeugedu: überzeugster/sie/es: überzeugtwir: überzeugenihr: überzeugtsie: überzeugenPast (Präteritum):ich: überzeugtedu: überzeugtester/sie/es: überzeugtewir: überzeugtenihr: überzeugtetsie: überzeugten",Ich überzeuge ihn mit guten Argumenten.I convince him with good arguments.,Sie hat die Chefin von der Idee überzeugt.She convinced the boss of the idea.,Kannst du mich überzeugen?Can you convince me?4. Das Überzeugen fiel ihm nicht leicht.Convincing people was not easy for him.,,,German Word (B2)
B1,Überweisen,überweisen,"überweisen (Verb): to transfer‌ (money), to remit, to refer‌ (to a doctor)  das überweisen (Noun): the act of transferring‌ (money), the act of referring‌ (a patient)","überweisen (Verb): to transfer (money), to remit, to refer (to a doctor)  das Überweisen (Noun): the act of transferring (money), the act of referring (a patient)🔄 Verb Conjugationsunregelmäßig Partizip II: überwiesenPresent (Präsens):ich: überweisedu: überweister/sie/es: überweistwir: überweisenihr: überweistsie: überweisenPast (Präteritum):ich: überwiesdu: überwiesester/sie/es: überwieswir: überwiesenihr: überwiesetsie: überwiesen",Ich überweise die Miete heute.I am transferring the rent today.,Hast du das Geld schon überwiesen?Have you transferred the money yet?3. Die Hausärztin überweist mich zum Spezialisten.The family doctor is referring me to a specialist.,Das Überweisen ist online bequem.Transferring (the act) online is convenient.,Wir überweisen die Rechnung morgen früh.We will transfer the invoice tomorrow morning.,,German Word (B1)
A2,Übersetzen,übersetzen,"übersetzen (Verb): to translate, to render‌ (a text), to ferry across, to take across‌ (by boat)  das übersetzen (Noun): the act of translating","übersetzen (Verb): to translate, to render (a text), to ferry across, to take across (by boat)  das Übersetzen (Noun): the act of translating🔄 Verb Conjugationsregelmäßig Partizip II: übersetztPresent (Präsens):ich: übersetzedu: übersetzter/sie/es: übersetztwir: übersetzenihr: übersetztsie: übersetzenPast (Präteritum):ich: übersetztedu: übersetztester/sie/es: übersetztewir: übersetztenihr: übersetztetsie: übersetzten",Ich übersetze den Text ins Englische.I translate the text into English.,"Kannst du das bitte schnell übersetzen?Can you translate this quickly, please?3. Der Fährmann setzt uns ans andere Ufer über.The ferryman ferries us to the other shore.",Das Übersetzen erfordert Konzentration.Translating requires concentration.,Wir setzen in fünf Minuten über.We will ferry across in five minutes.,,German Word (A2)
A2,Übernachten,übernachten,"übernachten (Verb): to stay overnight, to spend the night, to stay for the night  das übernachten (Noun): the act of staying overnight","übernachten (Verb): to stay overnight, to spend the night, to stay for the night  das Übernachten (Noun): the act of staying overnight🔄 Verb Conjugationsregelmäßig Partizip II: übernachtetPresent (Präsens):ich: übernachtedu: übernachtester/sie/es: übernachtetwir: übernachtenihr: übernachtetsie: übernachtenPast (Präteritum):ich: übernachtetedu: übernachtetester/sie/es: übernachtetewir: übernachtetenihr: übernachtetetsie: übernachteten",Wir übernachten im Hotel.We are staying overnight at the hotel.,Kann ich bei dir übernachten?Can I stay overnight at your place?3. Letzte Nacht habe ich bei Freunden übernachtet.Last night I stayed over at friends.,Das Übernachten ist hier erlaubt.Staying overnight is allowed here.,,,German Word (A2)
A2,Übermorgen,übermorgen,übermorgen (Adverb): the day after tomorrow  das übermorgen (Noun): the day after tomorrow‌ (as a day),übermorgen (Adverb): the day after tomorrow  das Übermorgen (Noun): the day after tomorrow (as a day)📊 Degrees of ComparisonPositive: übermorgen,Ich komme übermorgen.I will come the day after tomorrow.,Übermorgen haben wir frei.We have a day off the day after tomorrow.,Das Übermorgen wird stressig.The day after tomorrow will be stressful.,,,German Word (A2)
B1,Überlegen,überlegen,"überlegen (Adjektiv): superior, better‌ (in strength/quality), outclassing  überlegen (Verb): to consider, to think about, to ponder, to reflect on  das überlegen (Noun): considering, pondering, the superior‌ (quality/state of being better)","überlegen (Adjektiv): superior, better (in strength/quality), outclassing  überlegen (Verb): to consider, to think about, to ponder, to reflect on  das Überlegen (Noun): considering, pondering, the superior (quality/state of being better)📊 Degrees of ComparisonPositive: überlegenComparative: überlegenerSuperlative: am überlegensten",Ich überlege es mir noch.I will think it over.,Sie ist ihm deutlich überlegen.She is clearly superior to him.,Wir überlegten lange und trafen dann eine Entscheidung.We thought for a long time and then made a decision.,Er ist heute noch überlegener als gestern.He is even more superior today than yesterday.,"Das Überlegen hilft oft, Fehler zu vermeiden.Considering often helps to avoid mistakes.",German Word (B1)
A2,Über,über,"über (Präposition): over, above, across, about‌ (regarding)  über (Adverb): over, across, on the other side  über (Kontraktion): form in compounds: drüber = darüber, rüber = herüber/over  über (Partikel): overly‌ (only in emphatic colloquial use), too‌ (as emphasis)","über (Präposition): over, above, across, about (regarding)  über (Adverb): over, across, on the other side  über (Kontraktion): form in compounds: drüber = darüber, rüber = herüber/over  über (Partikel): overly (only in emphatic colloquial use), too (as emphasis)",Die Lampe hängt über dem Tisch.The lamp hangs above the table.,Wir gehen über die Brücke.We are going across the bridge.,Wir sprechen über das Problem.We are talking about the problem.,Sie geht allein darüber.She goes over it alone.,,German Word (A2)
A2,Üben,üben,"üben (Verb): to practice, to exercise, to rehearse, to drill, to apply‌ (in practice)  das üben (Noun): practicing; the act of practicing","üben (Verb): to practice, to exercise, to rehearse, to drill, to apply (in practice)  das Üben (Noun): practicing; the act of practicing🔄 Verb Conjugationsregelmäßig Partizip II: geübtPresent (Präsens):ich: übedu: übster/sie/es: übtwir: übenihr: übtsie: übenPast (Präteritum):ich: übtedu: übtester/sie/es: übtewir: übtenihr: übtetsie: übten",Ich übe jeden Tag Deutsch.I practice German every day.,Sie übt Klavier vor dem Konzert.She is rehearsing piano before the concert.,Wir üben die neuen Wörter laut.We practice the new words aloud.,Das Üben hilft mir sehr.Practicing helps me a lot.,,German Word (A2)
A1,Öffnen,öffnen,"öffnen (Verb): to open, to unlock, to unseal  das öffnen (Noun): the opening‌ (act), opening‌ (the act of opening)","öffnen (Verb): to open, to unlock, to unseal  das Öffnen (Noun): the opening (act), opening (the act of opening)🔄 Verb Conjugationsregelmäßig Partizip II: geöffnetPresent (Präsens):ich: öffnedu: öffnester/sie/es: öffnetwir: öffnenihr: öffnetsie: öffnenPast (Präteritum):ich: öffnetedu: öffnetester/sie/es: öffnetewir: öffnetenihr: öffnetetsie: öffneten",Ich öffne die Tür.I open the door.,Der Laden öffnet um acht.The shop opens at eight.,Kannst du das Fenster öffnen?Can you open the window?4. Das Öffnen der Datei dauert lange.The opening of the file takes a long time.,Er hat die Flasche geöffnet.He opened the bottle.,,German Word (A1)
B1,Öffentlich,öffentlich,"öffentlich (Adjektiv): public, open‌ (to the public), official‌ (public), overt  öffentlich (Adverb): publicly, in public, openly  das öffentlich (Noun): the public‌ (as an abstract quality), the public sphere","öffentlich (Adjektiv): public, open (to the public), official (public), overt  öffentlich (Adverb): publicly, in public, openly  das Öffentlich (Noun): the public (as an abstract quality), the public sphere📊 Degrees of ComparisonPositive: öffentlichComparative: öffentlicherSuperlative: am öffentlichsten",Das Museum ist heute öffentlich zugänglich.The museum is open to the public today.,Er sprach öffentlich über den Plan.He spoke publicly about the plan.,Dieser Platz ist öffentlicher als unser Hof.This square is more public than our yard.,Das ist am öffentlichsten im Park.That is the most public spot in the park.,Das Öffentliche steht hier im Mittelpunkt.The public sphere is central here.,German Word (B1)
A2,Ärgern,ärgern,"ärgern (Verb): to annoy, to irritate, to anger, to vex  das ärgern (Noun): being angry, getting annoyed","ärgern (Verb): to annoy, to irritate, to anger, to vex  das Ärgern (Noun): being angry, getting annoyed🔄 Verb Conjugationsregelmäßig Partizip II: geärgertPresent (Präsens):ich: ärgeredu: ärgerster/sie/es: ärgertwir: ärgernihr: ärgertsie: ärgernPast (Präteritum):ich: ärgertedu: ärgertester/sie/es: ärgertewir: ärgertenihr: ärgertetsie: ärgerten",Das ärgern mich.That annoys me.,Er ärgert seine Schwester.He annoys his sister.,Ich ärgere mich über den Lärm.I am annoyed about the noise.,Gestern hat sie mich sehr geärgert.Yesterday she really annoyed me.,Das Ärgern hilft nicht.Getting angry does not help.,German Word (A2)
B1,Ärgerlich,ärgerlich,"ärgerlich (Adjektiv): annoyed, angry, annoying, irritating, vexing  ärgerlich (Adverb): annoyingly, irritatingly, vexingly  das ärgerlich (Noun): the annoying‌ (thing), the vexing‌ (aspect)","ärgerlich (Adjektiv): annoyed, angry, annoying, irritating, vexing  ärgerlich (Adverb): annoyingly, irritatingly, vexingly  das Ärgerlich (Noun): the annoying (thing), the vexing (aspect)📊 Degrees of ComparisonPositive: ärgerlichComparative: ärgerlicherSuperlative: am ärgerlichsten",Die Verspätung ist ärgerlich.The delay is annoying.,Er ist heute sehr ärgerlich.He is very annoyed today.,Das ist ärgerlicher als gestern.This is more annoying than yesterday.,Das war am ärgerlichsten.That was the most annoying.,"Das Ärgerliche ist, dass der Bus schon weg ist.The annoying thing is that the bus has already left.",German Word (B1)
